N,P,K,ph,Soiltype,temperature,humidity,rainfall,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,elevation,slope,aspect,latitude,longitude,label
60,68,83,6.620900869,Sandy loam,19.12065218,18.43475844,85.52950164,0.1318,0.1727,0.2285,0.2075,15.2323,19.945,24.9311,20.2348,12.3642,16.1208,20.151,16.4106,8.7436,16.5018,43.4349,14.0348,320.0,0.015357,43.035881,22.370548,77.285895,chickpea
59,62,83,8.104396057999999,Black,18.57665902,19.22008229,72.94940441,0.1599,0.1726,0.245,0.2176,15.0075,19.3835,24.5488,18.8494,12.221,15.6681,19.9046,15.1341,5.2616,14.3209,38.6382,17.2477,418.0,0.136384,175.939555,25.032922,77.43621,chickpea
22,67,78,6.204090835,Loamy,17.16606398,14.42457525,72.32667516,0.1263,0.1323,0.1733,0.1505,13.7117,18.5362,22.6029,18.8061,11.1368,15.103,18.3114,15.3729,11.2572,16.5555,35.4605,17.5301,518.0,0.0,285.102641,22.899114,75.968706,chickpea
36,65,80,6.051091339,Loamy,18.2872007,16.67921616,74.87445574,0.1194,0.1564,0.2014,0.1729,14.6511,18.1515,23.7058,18.9487,11.908,14.4941,19.134,15.2912,8.2227,16.7454,41.3455,17.9382,393.0,0.159397,341.198431,25.122049,74.69744,chickpea
59,60,84,7.690962337999999,Black,19.03025305,18.66725565,94.70992037,0.1494,0.1606,0.2409,0.2252,15.9676,20.6525,25.5926,19.5419,13.1131,16.8465,20.8351,15.7358,11.4939,17.9714,48.4807,17.88,470.0,0.067476,27.660247,23.232409,77.498886,chickpea
54,77,85,7.8292111439999985,Black,17.141861399999996,17.0662427,83.74606679,0.14,0.1577,0.2104,0.1901,13.3316,18.4259,22.5205,17.8507,10.7604,14.9976,18.235,14.4223,11.4829,17.6758,36.8139,14.4472,277.0,0.132798,0.40875,22.54565,77.062252,chickpea
43,68,81,6.761599706,Loamy,17.47809436,17.93253975,78.92060234,0.1414,0.1567,0.2107,0.186,13.9572,19.1385,22.903,17.9729,11.3354,15.6429,18.5335,14.4772,11.403,15.4824,39.8504,17.0295,290.0,0.053473,271.522652,26.852152,76.720594,chickpea
28,76,82,6.654425315,Loamy,20.56601874,14.25803981,83.75937135,0.106,0.1309,0.1756,0.1548,16.5105,21.2785,26.9761,21.4961,13.4256,17.1653,21.8346,17.3829,10.1666,18.3926,40.8468,15.2587,305.0,0.022465,173.433268,25.079487,76.740791,chickpea
42,79,85,6.129533877,Black,17.22385224,15.82069268,76.57580954,0.1111,0.1398,0.1946,0.162,13.4754,17.9426,22.5754,17.7602,10.8918,14.4978,18.2695,14.3154,6.6753,14.8322,40.0369,13.2311,242.0,0.032007,203.529485,22.346421,76.77427,chickpea
32,60,83,8.829273328,Loamy,19.69141713,19.44225438,91.76071648,0.152,0.1704,0.2277,0.2136,15.2634,20.0279,26.1425,20.2126,12.3097,16.0896,21.2196,16.2744,7.6361,18.715,45.0544,16.6553,159.0,0.001889,40.353755,26.841492,78.33968,chickpea
22,78,76,8.621662982,Sandy loam,17.84851658,19.09172907,76.32470713,0.1349,0.1737,0.2191,0.2092,14.3423,18.8915,23.6011,17.8528,11.665,15.3218,19.1389,14.2831,6.9132,20.651,37.9714,13.5988,371.0,0.018518,355.535029,24.375692,78.898719,chickpea
31,79,75,8.204862075,Sandy loam,18.8202251,16.1074793,89.73119396,0.1234,0.1624,0.2014,0.1811,15.2786,19.4435,25.6178,19.9456,12.4556,15.6794,20.9128,16.1816,8.7396,17.3038,45.8297,14.0909,310.0,0.537035,85.467492,26.474827,77.469868,chickpea
28,58,81,6.18042747,Sandy loam,17.47500984,16.54314829,93.35034262,0.1408,0.1484,0.1979,0.1649,13.6221,17.6462,23.5594,18.1655,11.0009,14.1512,19.1906,14.6705,9.2372,22.0783,48.5781,16.8211,224.0,0.036354,82.415317,22.271739,76.067173,chickpea
57,58,77,7.978996755,Sandy loam,18.72649425,17.58406365,81.20176515,0.1379,0.1773,0.2094,0.2082,15.5286,19.5129,25.6879,18.9045,12.7196,15.7676,21.0063,15.1592,7.6334,19.4923,41.1921,13.9048,426.0,0.14224,266.250429,22.382559,79.964742,chickpea
49,55,78,7.863113671,Loamy,18.65580107,16.17772668,81.70769297,0.1184,0.1395,0.2025,0.1901,14.7998,19.17,24.2116,19.6989,12.0015,15.4388,19.5477,15.9677,6.993,15.2633,38.6441,15.3151,342.0,0.038977,268.652085,27.607497,74.414115,chickpea
46,76,77,6.967843048,Sandy loam,18.2356751,19.68538502,83.74879344,0.1552,0.1719,0.243,0.2082,14.0016,19.2445,23.3832,18.9936,11.2663,15.5974,18.8243,15.3464,10.7343,17.7175,42.6916,14.9764,327.0,0.002666,25.810209,27.602653,74.190409,chickpea
54,61,77,6.206582192999999,Black,18.81198127,15.21618225,77.54294240000002,0.134,0.1161,0.1735,0.1703,15.0818,19.9818,24.6752,19.4187,12.26,16.2194,19.9722,15.6563,6.4797,14.3394,36.8985,15.1339,389.0,0.124627,179.969559,24.453202,78.613832,chickpea
38,60,76,8.868741443,Black,18.65054116,17.80852431,77.92798682,0.1213,0.1328,0.2276,0.1973,13.5682,19.8119,24.2157,19.7746,10.7706,16.0818,19.5531,16.0445,6.5791,14.5861,38.1939,11.3245,136.0,0.021306,255.971285,26.594966,79.87,chickpea
59,55,79,8.766128654,Sandy loam,20.36720401,16.89574311,82.2545577,0.1373,0.1312,0.2056,0.1802,16.4233,23.3487,26.5882,21.1734,13.3682,19.2752,21.4964,17.1,9.242,19.9003,41.0363,17.1099,219.0,0.033851,188.755839,25.875285,76.522172,chickpea
36,76,75,8.736337905,Black,18.38120357,16.63805158,70.52056697,0.1406,0.1452,0.2032,0.1899,13.7166,18.7352,23.8577,19.6792,10.9594,15.059,19.2624,16.003,6.2197,16.6184,33.7984,17.8013,309.0,0.107101,198.757817,27.95714,76.294878,chickpea
57,68,81,8.081095263,Sandy loam,17.17012591,17.30457712,72.78624223,0.1451,0.1486,0.207,0.1892,13.4337,18.6766,22.4384,18.1548,10.8582,15.2425,18.1459,14.7207,7.4748,16.0473,36.5766,14.9867,139.0,0.086176,22.955429,27.217722,79.440604,chickpea
35,66,81,6.138243973,Sandy loam,19.37101121,15.77458129,85.24819851,0.1361,0.1331,0.204,0.1571,16.0437,20.1118,25.8625,20.2248,13.1381,16.2376,21.0197,16.3506,10.2631,18.9602,41.4161,16.2647,388.0,0.159379,313.714871,24.253873,78.096382,chickpea
35,64,78,7.496645259,Sandy loam,17.92845928,14.27327988,85.37378769,0.1095,0.1317,0.1414,0.1691,14.6169,18.7296,23.5737,18.0096,11.9277,15.1439,19.0916,14.424,9.8183,14.7794,42.3131,18.6296,430.0,0.327481,21.545846,25.970755,77.235802,chickpea
52,60,79,8.380185271,Black,19.45339934,18.23490739,75.6317566,0.1611,0.1734,0.2078,0.1953,15.5529,21.2998,26.1004,20.1218,12.6349,17.4091,21.237,16.2311,5.6653,14.6532,36.1668,13.0132,287.0,0.053432,71.672201,25.921205,76.086619,chickpea
27,76,83,6.289614016,Black,19.12829388,14.92241479,89.61857826,0.1168,0.1161,0.1784,0.1733,15.6751,19.7995,24.1498,21.0783,12.8058,15.9739,19.3677,17.2527,9.6669,18.4638,42.0727,18.1352,522.0,0.011343,352.920687,23.070842,77.223551,chickpea
57,60,84,6.586777189,Sandy loam,19.1034283,17.26184541,75.49101167,0.1296,0.158,0.21,0.1887,15.6758,20.1585,25.4395,19.5786,12.8103,16.3378,20.6636,15.7579,8.6361,17.6429,34.4357,15.2849,308.0,0.175444,44.4711,25.173055,78.367149,chickpea
52,68,78,6.89655198,Sandy loam,17.48504075,16.96070581,86.05078037,0.1598,0.1534,0.2043,0.1899,13.2044,18.6604,22.4732,17.7384,10.5816,15.1633,18.1019,14.2414,11.6379,16.7857,43.5409,16.8996,168.0,0.01695,35.92539,23.336141,74.02084,chickpea
43,79,79,7.8067476560000015,Sandy loam,19.40751744,18.98030507,80.25064637,0.1432,0.1764,0.2123,0.2078,14.3295,21.3217,25.7154,20.1423,11.4184,17.4402,20.8635,16.2608,7.1979,13.3792,42.2907,18.7017,178.0,0.081742,62.127768,22.136412,75.790178,chickpea
44,74,85,7.150681303,Sandy loam,20.18649426,19.63719995,78.26039559,0.1431,0.1615,0.2412,0.2119,15.2533,21.715,26.2692,20.9642,12.2253,17.6777,21.2226,16.9269,6.6588,9.9878,41.5307,17.9599,382.0,0.327481,201.559381,26.040999,77.266672,chickpea
24,55,78,6.64919573,Loamy,17.30287885,15.15405941,75.57790384,0.1173,0.1313,0.1753,0.1673,12.6911,18.3926,21.4659,17.6769,10.0957,14.9321,17.1401,14.2163,7.9386,15.1845,38.696,16.0093,246.0,0.003559,321.294883,25.191602,78.940163,chickpea
29,77,75,7.778591617999999,Sandy loam,17.50361137,15.48083156,72.9446671,0.1256,0.1454,0.188,0.1819,13.6128,18.2755,22.6802,17.3538,10.9873,14.7748,18.3043,13.8531,5.369,14.9029,37.9016,13.9164,499.0,0.210555,34.165107,23.485072,76.076958,chickpea
20,60,78,6.358740355,Black,18.17234999,14.70085967,90.7760707,0.1296,0.1294,0.1678,0.1497,14.5235,18.7262,24.7187,19.1832,11.7976,15.0918,20.1756,15.5487,6.3343,16.5877,44.2769,17.3639,347.0,0.006038,62.224489,23.653898,79.624462,chickpea
56,67,78,8.255450758,Sandy loam,17.57445618,16.71826572,77.81891424,0.1304,0.1353,0.2008,0.1712,13.9986,18.1885,23.9439,18.7995,11.3624,14.6736,19.5503,15.2846,7.5951,16.207,39.36,18.9688,495.0,0.238459,208.356983,26.350144,74.677068,chickpea
37,66,85,6.456148474,Loamy,20.93175255,18.91295403,78.06910795,0.1676,0.178,0.2245,0.1884,16.5849,22.8874,27.5899,22.0485,13.4452,18.701,22.357,17.8622,6.3408,16.7199,41.4356,13.3794,309.0,0.053473,91.42998,26.856869,76.515444,chickpea
49,71,76,6.613072145,Black,19.71098332,17.63879418,85.57925437,0.1442,0.1392,0.2193,0.1854,15.4295,21.306,24.9617,20.9063,12.4728,17.3638,20.0339,16.9641,8.4447,17.403,42.6007,19.6748,144.0,0.006476,173.179325,26.596321,79.30254,chickpea
59,69,80,8.165359297,Loamy,19.07937684,17.86754927,69.40619137,0.1488,0.1537,0.2251,0.1836,15.5459,20.3233,25.8664,20.2141,12.684,16.5074,21.0966,16.3982,6.6816,15.5923,33.2439,15.026,149.0,0.04836,318.993396,22.093875,75.23649,chickpea
20,79,77,7.64867466,Sandy loam,18.54988627,16.02542689,76.32565249,0.1095,0.1412,0.1948,0.1868,14.8333,19.3358,24.5412,19.0995,12.0509,15.6258,19.9037,15.3895,5.309,12.8462,37.7743,18.5759,415.0,0.063887,356.657804,22.60538,74.201458,chickpea
24,56,85,6.545888558,Black,18.19903647,17.41333199,80.6405403,0.1332,0.1553,0.2221,0.1907,14.09,18.93,22.9316,18.9032,11.3601,15.2902,18.3818,15.2634,9.0465,17.6074,40.4656,16.053,238.0,0.107317,3.903122,25.586709,78.219718,chickpea
51,72,75,7.1042247970000005,Sandy loam,18.88852533,14.99451145,80.11133840000002,0.1349,0.1445,0.1773,0.1639,14.0091,20.0545,25.0279,18.7693,11.1758,16.2767,20.3058,14.9916,8.0938,13.9799,41.7492,14.8166,712.0,0.38514,256.16013,22.292058,78.443246,chickpea
57,73,85,7.358099622,Black,18.49311205,14.72115044,91.94595352,0.1225,0.1314,0.173,0.1515,14.7795,19.0617,24.6932,19.2304,12.0055,15.3631,20.0699,15.5317,7.7793,16.5959,40.159,15.1266,395.0,0.074777,210.778687,24.413592,75.406036,chickpea
22,64,82,6.4740245000000005,Black,19.48974337,17.17260319,87.51312796,0.1385,0.1485,0.1991,0.185,14.7295,20.6208,25.3507,19.5883,11.806,16.7229,20.4783,15.6904,11.4086,18.4144,41.4478,17.8187,456.0,0.104513,135.272177,23.303615,79.182381,chickpea
52,73,79,7.840339388999999,Black,17.25769499,18.74943955,94.00287214,0.1458,0.1556,0.2175,0.216,13.5421,18.4247,22.1496,17.8699,10.9535,14.9732,17.8352,14.4183,7.5088,20.3526,44.0679,19.8318,287.0,0.024527,9.840954,22.338664,77.023375,chickpea
29,75,75,7.064790365,Loamy,19.62416326,18.71483156,88.4585692,0.1549,0.1606,0.2335,0.2018,15.9432,20.44,25.1583,21.5202,12.9996,16.5151,20.2523,17.5953,6.6385,20.3529,46.0152,19.1164,503.0,0.040992,199.206969,23.735581,78.894718,chickpea
44,59,78,7.599033472,Sandy loam,20.67526473,19.85388984,84.78344008,0.1527,0.1858,0.2426,0.2206,17.4226,20.769,26.9501,21.9218,14.3213,16.634,21.7813,17.7867,5.4083,13.1904,42.7621,19.5144,323.0,0.016554,307.044386,26.389105,75.913422,chickpea
41,69,82,6.715587232000001,Loamy,20.02381489,16.63294455,68.97806542,0.1263,0.1587,0.1878,0.1903,15.2926,21.4401,26.873,21.7866,12.289,17.4353,21.8671,17.7819,5.3525,14.6981,37.8235,17.3592,253.0,0.064635,36.006538,25.587506,78.035191,chickpea
52,56,85,6.81712422,Loamy,20.118744600000007,14.44228303,88.68168643,0.1103,0.1195,0.1803,0.1504,15.0152,21.4854,27.0911,20.6307,11.9974,17.4617,22.0614,16.607,7.3976,19.2513,44.9083,20.2356,470.0,0.022849,40.345765,23.923991,75.810587,chickpea
34,76,80,7.985417393,Sandy loam,20.65691793,15.84572566,65.23811143,0.1264,0.1319,0.192,0.1762,16.657,20.6769,26.472,21.0623,13.5585,16.5455,21.3077,16.9309,5.688,16.8705,34.6339,14.9235,316.0,0.915928,333.743691,22.859563,77.961275,chickpea
42,74,83,7.545258424,Sandy loam,19.2582557,14.2804191,65.78042032,0.1429,0.1268,0.164,0.1631,15.1721,20.7505,25.4971,19.2922,12.2834,16.8989,20.6826,15.4406,3.2408,14.6999,33.3482,13.7524,499.0,0.0,57.66499,23.326256,75.803006,chickpea
34,71,79,7.728998197,Sandy loam,17.927806,15.85622899,74.63872762,0.1374,0.1339,0.2046,0.1654,14.4375,18.8982,24.1236,18.8472,11.7483,15.3127,19.6417,15.2616,8.1991,13.5033,36.8431,17.2733,496.0,0.004672,152.093533,22.365746,79.691122,chickpea
27,73,79,7.354973451,Black,19.16288268,15.83500655,82.69766829,0.1461,0.1448,0.1813,0.165,15.4235,19.932,25.0434,20.4816,12.549,16.0994,20.2527,16.649,6.5131,17.8325,43.1116,19.2504,150.0,0.086176,202.968643,27.278283,79.469466,chickpea
30,70,79,7.313122235,Loamy,20.26942271,19.96978871,69.64449182,0.1611,0.1711,0.2484,0.2164,16.5473,21.5599,25.5274,22.0346,13.5069,17.506,20.4601,17.9807,7.1236,13.989,31.6993,13.5056,221.0,0.041187,322.008262,25.755959,76.563203,chickpea
57,57,75,7.785039076,Loamy,17.09104223,18.25142068,87.27444866,0.1431,0.177,0.2083,0.1892,13.1453,16.7017,21.8285,17.4728,10.5817,13.2835,17.5557,14.0546,11.5645,18.1309,46.99,19.7295,226.0,0.063997,194.75022,24.973725,79.833741,chickpea
27,79,82,6.307004922999999,Loamy,17.06579293,17.54024066,70.87150577,0.1309,0.1689,0.2141,0.1811,13.6086,17.4062,22.6649,17.9189,11.0487,13.993,18.3984,14.5058,7.5204,16.297,38.9581,15.0732,179.0,0.011047,162.772361,27.649518,78.028055,chickpea
32,71,85,6.4039823160000005,Loamy,20.62767492,14.44008871,92.06630306,0.1054,0.1294,0.1965,0.1434,17.2873,21.8673,27.6348,21.207,14.1932,17.7417,22.4778,17.0815,8.4837,16.4487,46.4254,18.9292,331.0,0.10967,358.050812,26.714828,75.912407,chickpea
31,76,82,7.599279991,Loamy,20.8248451,17.85057083,79.20509212,0.1476,0.1497,0.1987,0.2104,16.9515,21.5715,27.7895,22.1531,13.8278,17.4065,22.5833,17.9882,7.9157,17.5105,42.7822,13.1568,489.0,0.27123,10.406787,24.497948,74.895306,chickpea
33,75,84,7.217018459,Black,19.46210401,18.72831993,68.81405149,0.1483,0.1756,0.237,0.2032,14.6435,21.3334,25.0308,21.2494,11.7242,17.441,20.1653,17.357,7.887,13.2774,32.4776,16.944,438.0,0.111794,32.654636,24.258761,78.526497,chickpea
47,80,77,7.561108006,Sandy loam,17.18248372,16.42891834,72.85017344,0.1301,0.1521,0.1955,0.1853,13.8707,17.8712,22.2551,16.9772,11.2933,14.4347,17.9595,13.5407,6.2462,14.7243,36.5822,12.6106,304.0,0.035803,72.145357,24.841113,79.096046,chickpea
54,62,80,7.489545074,Black,17.48911699,16.39055394,79.45758333,0.1143,0.1404,0.1985,0.1795,13.196,17.6858,22.6915,18.4291,10.5726,14.188,18.3192,14.9313,4.358,19.798,40.5298,13.5009,450.0,0.04277,85.045579,23.804419,78.245461,chickpea
47,79,78,6.609696734,Black,17.48395377,14.76014523,65.11365631,0.1362,0.13,0.1698,0.1645,14.4941,17.8461,23.2007,18.9534,11.8715,14.3493,18.8297,15.4566,3.146,11.0937,36.8869,15.0767,144.0,0.0,43.490127,26.834657,79.488447,chickpea
35,57,83,7.476800943,Black,19.48316794,17.44534641,80.4986291,0.1339,0.1656,0.2013,0.2116,15.8959,20.4964,24.7832,20.4195,12.9735,16.5998,19.9124,16.5229,6.4174,16.3778,40.1014,13.3277,173.0,0.110585,169.59125,25.374316,79.806717,chickpea
53,73,77,7.325451279,Sandy loam,19.71359733,18.09665739,73.64476535,0.1597,0.1678,0.2162,0.2059,15.7773,20.4971,25.9718,19.4332,12.8202,16.5544,21.0434,15.4904,11.9074,15.8685,37.6943,14.9813,390.0,0.100407,226.480688,25.343721,74.804557,chickpea
45,61,78,6.489389282,Sandy loam,19.48649305,16.06240074,81.52842690000001,0.149,0.1645,0.1913,0.1638,15.2344,20.2593,25.301,20.5647,12.3114,16.362,20.4293,16.6674,6.803,14.6416,42.4457,15.2413,483.0,0.054667,50.144026,23.457151,75.22002,chickpea
37,78,79,7.786366322,Loamy,19.95264829,14.82633099,88.6810311,0.1178,0.1157,0.1918,0.1678,15.409,21.1594,26.3141,21.5009,12.4161,17.1689,21.326,17.5104,9.7198,19.8641,45.2289,20.4287,124.0,0.077764,204.85935,25.880235,79.533357,chickpea
30,75,81,6.4084378860000015,Black,19.41789736,16.80472243,68.4951189,0.1335,0.157,0.2046,0.1863,15.5527,20.8333,24.8418,20.0817,12.64,16.9497,19.9874,16.1982,11.3944,11.1464,34.5386,16.8763,373.0,0.034472,27.680763,27.0828,74.554784,chickpea
37,55,82,8.423873703,Loamy,19.45591848,18.02235902,78.44910564,0.1328,0.1583,0.2037,0.169,15.6692,20.0262,25.2971,20.1484,12.7508,16.135,20.4331,16.2572,7.6219,14.8626,38.9692,19.7958,367.0,0.003139,226.041955,26.347508,75.14289,chickpea
53,65,76,8.719960893,Sandy loam,20.19137759,16.41998269,77.33795356,0.1276,0.1647,0.2073,0.1765,16.4451,20.6151,26.5795,20.5326,13.4164,16.5768,21.5317,16.4943,7.7714,19.2622,39.0196,15.7314,440.0,0.127233,158.543088,23.61077,78.042032,chickpea
22,60,85,7.811997977000001,Sandy loam,18.8392908,14.74071856,94.78189594,0.1157,0.1332,0.164,0.1737,14.6087,19.7408,24.3681,18.7284,11.7828,15.973,19.6582,14.9606,9.2954,16.8352,49.3466,21.7291,162.0,0.005735,334.265125,25.617532,79.241723,chickpea
60,61,78,6.317153205,Sandy loam,20.71219282,19.83643308,94.03659867,0.1327,0.1684,0.2447,0.2149,16.1598,21.7157,27.9499,20.949,13.0529,17.5733,22.7718,16.8066,8.681,17.7769,45.1692,18.3804,354.0,0.107087,218.948746,23.12898,78.570179,chickpea
42,67,77,7.114405288,Sandy loam,18.99424448,15.9362937,78.69707199,0.1221,0.1516,0.1877,0.1758,15.2061,20.9115,24.8384,19.6303,12.3569,17.1127,20.0898,15.8315,8.8927,15.6432,41.7098,15.8418,182.0,0.037417,292.200952,26.345831,77.353103,chickpea
39,76,76,8.135900726000001,Black,19.96837462,15.57324389,69.15759062,0.1109,0.1452,0.1781,0.1757,15.4742,20.9363,26.8189,20.093,12.4789,16.9426,21.8268,16.0993,7.5617,12.7643,38.0029,14.7824,312.0,0.035803,252.196138,24.876365,79.216843,chickpea
35,63,76,7.714153037999999,Loamy,17.81564548,17.60756635,90.82097601,0.1451,0.1635,0.2276,0.1917,13.632,17.598,22.9002,18.1195,10.9597,14.0349,18.4463,14.5564,11.6411,13.1777,44.2469,22.3,321.0,0.117421,242.148952,23.997786,79.742119,chickpea
30,65,82,7.103798069,Sandy loam,20.71424384,15.27824066,76.77888672,0.1117,0.1365,0.1993,0.1676,15.3966,22.6788,28.2354,21.3438,12.2895,18.536,23.0568,17.2009,10.6728,12.8777,39.7473,15.0351,598.0,0.291063,64.628447,22.092002,79.622959,chickpea
57,56,78,8.861479668,Loamy,17.34150229,18.75626255,67.9545435,0.1646,0.1826,0.2397,0.201,13.8219,17.6699,23.1043,18.1907,11.2206,14.2016,18.7689,14.7224,8.5543,14.2172,31.7541,10.4552,339.0,0.005067,237.329912,27.772465,74.703897,chickpea
48,65,78,7.861128148,Sandy loam,17.43732714,14.33847406,73.0926704,0.1398,0.1355,0.1591,0.1358,13.9053,18.2931,22.8299,17.9308,11.2897,14.8056,18.4706,14.4433,3.6291,14.8647,37.0119,17.0077,304.0,0.005026,265.627561,27.997432,76.873525,chickpea
36,56,83,7.4526709,Loamy,18.89780215,19.76182946,69.09512477,0.1586,0.1801,0.2503,0.2047,15.3612,20.3799,24.6546,19.9397,12.5265,16.6003,19.9302,16.1602,7.3677,15.6271,35.1891,14.3929,437.0,0.022744,113.956226,23.455559,77.626409,chickpea
40,58,75,7.168096055,Loamy,18.59190771,14.77959596,89.60982451,0.1119,0.1543,0.1651,0.1556,14.2251,18.9884,25.3621,18.8747,11.4364,15.27,20.7141,15.1564,7.3302,20.5846,44.9474,16.0857,358.0,0.560012,55.33922,23.227079,79.490759,chickpea
49,69,82,7.26311855,Sandy loam,18.31561493,15.36143547,81.78710463,0.1189,0.1613,0.1958,0.1723,15.0433,19.5335,24.6689,19.735,12.296,15.8703,20.09,16.0718,10.3155,13.3985,38.9468,15.9025,227.0,0.074021,326.204924,25.312476,78.653083,chickpea
13,60,25,5.68597166,Loamy,17.13692774,20.59541693,128.256862,0.1576,0.1932,0.258,0.2269,13.0834,17.9941,22.1023,17.7862,10.5128,14.5667,17.8181,14.3588,16.9253,24.0696,61.4293,25.8741,500.0,0.197961,96.145519,31.903309,76.134601,kidneybeans
25,70,16,5.759237003,Sandy loam,19.63474332,18.90705639,106.3598183,0.1552,0.1603,0.2358,0.1882,15.3728,20.9838,26.368,20.7922,12.4276,17.0569,21.4593,16.8653,12.0217,20.7037,50.4342,21.3658,241.0,0.089315,164.728019,31.796298,75.046247,kidneybeans
31,55,22,5.873171894,Clay loam,22.91350245,21.33953114,109.225556,0.1612,0.1766,0.2497,0.239,18.9933,24.4412,30.3722,24.4313,15.5562,19.8585,24.6438,19.8486,9.2539,20.5796,54.1408,22.3787,1345.0,1.350568,192.128639,32.564083,75.989109,kidneybeans
40,64,16,5.926676985,Loamy,16.43340342,24.24045875,140.3717815,0.1976,0.2132,0.2905,0.2692,12.7717,17.484,21.0739,16.6981,10.3067,14.1973,16.9655,13.4114,13.7897,27.7092,68.5639,28.4998,1673.0,3.393723,249.00829,30.493041,77.925274,kidneybeans
2,61,20,5.95561668,Loamy,22.13974653,23.02251117,76.64128258,0.1799,0.2117,0.2799,0.2549,17.8265,23.5221,29.1331,22.2035,14.5055,19.0942,23.5982,17.7755,8.4802,13.6769,38.335,19.7533,4767.0,0.734473,181.264669,32.347452,77.358925,kidneybeans
26,65,22,5.9499490810000015,Clay loam,17.84806561,18.77621951,143.09841709999995,0.1429,0.1809,0.2312,0.2168,13.8753,18.8967,23.7913,18.9098,11.1981,15.327,19.3293,15.3402,15.0565,26.1039,71.2649,30.3643,4187.0,1.414709,117.507182,34.571652,75.48282,kidneybeans
17,57,21,5.789214288999999,Clay loam,19.88394011,20.31564139,60.91974792,0.1707,0.1836,0.243,0.2253,15.0871,20.9146,26.6935,20.6814,12.1045,16.9378,21.7225,16.7046,5.9626,11.8835,28.2208,14.6424,677.0,1.492029,167.99651,32.069651,76.250099,kidneybeans
26,80,18,5.581021521,Loamy,19.32509638,23.3334788,104.7783947,0.1782,0.2228,0.2884,0.2654,15.5201,20.4237,25.6309,20.82,12.6213,16.5587,20.7996,16.955,15.4482,20.6523,54.8256,20.3255,200.0,0.0,76.916422,31.10637,74.583691,kidneybeans
17,59,17,5.689858133,Loamy,18.416700100000003,23.42829938,132.9801054,0.1908,0.2215,0.2728,0.2525,14.2173,19.2262,23.7138,19.4913,11.4548,15.5428,19.1096,15.808,15.1643,29.5013,66.2093,29.3004,3177.0,3.533656,64.386257,31.303871,77.739033,kidneybeans
27,59,22,5.794158503999999,Loamy,21.81167649,23.20591245,130.0608093,0.186,0.2117,0.2769,0.2535,17.3887,22.2444,29.1341,24.0562,14.117,17.882,23.6812,19.6939,10.1343,21.747,71.5166,25.7995,3701.0,7.408879,76.44955,32.895715,75.670312,kidneybeans
28,58,24,5.748190462999999,Loamy,19.72702528,18.28173015,143.7630894,0.1633,0.1583,0.2301,0.2097,16.0328,19.8202,26.1402,19.5553,13.0738,15.8748,21.2084,15.6099,11.1003,29.9181,69.4821,27.0962,229.0,0.025426,200.922852,30.762057,75.319461,kidneybeans
25,57,19,5.566522896,Sandy loam,17.15432954,19.87070659,87.99669731,0.1604,0.1743,0.225,0.2218,12.4998,17.951,22.3298,18.2727,9.9266,14.5202,18.0412,14.8418,10.386,17.2806,42.569,17.9355,2470.0,0.755531,10.826004,31.899199,77.333451,kidneybeans
28,80,17,5.809419584,Sandy loam,19.62207826,18.67170854,144.1567454,0.1476,0.1823,0.2274,0.1985,14.9548,20.6924,25.461,20.3791,12.0115,16.768,20.5555,16.4547,10.0615,25.8831,74.5841,24.8935,1924.0,5.999207,348.628922,32.496507,76.618432,kidneybeans
25,60,22,5.887263027,Sandy loam,21.63149148,21.17919701,134.3649948,0.1899,0.1938,0.2624,0.2232,17.0865,22.7019,27.9848,22.7219,13.8418,18.3756,22.577,18.3956,13.9912,26.8508,67.634,29.48,3450.0,6.513808,252.666085,33.424233,75.029307,kidneybeans
12,78,23,5.99812453,Loamy,16.06522754,18.72479695,88.06638775,0.1443,0.1607,0.2294,0.1852,12.9837,16.6197,20.2001,16.2543,10.5739,13.4067,16.1838,13.0412,10.8103,16.0939,40.3709,17.4411,5295.0,1.459641,330.683594,34.10796,77.866033,kidneybeans
6,77,25,5.792744849,Sandy loam,20.61162204,24.36314135,69.63833855,0.1916,0.2239,0.2835,0.2739,16.1565,21.0561,27.2109,22.2938,13.0647,16.9338,22.058,18.1715,4.8787,12.8266,35.1813,13.1028,2668.0,0.874195,137.506323,33.208472,75.962382,kidneybeans
22,79,17,5.912289889,Loamy,21.42451099,20.39659714,116.5206923,0.1608,0.1819,0.2346,0.2122,17.0004,22.3329,27.623,21.6956,13.7867,18.048,22.2669,17.4107,11.6678,23.7283,55.4833,23.6231,1321.0,0.712364,28.214311,30.841168,77.179902,kidneybeans
27,80,15,5.7883869510000014,Loamy,19.07096165,21.21092266,86.21917578,0.1748,0.1974,0.2587,0.2207,14.572,19.0403,24.5337,20.0733,11.7113,15.2261,19.766,16.2592,8.6913,18.8654,41.3966,13.6576,524.0,1.600886,91.076529,30.846329,76.881254,kidneybeans
