Soilcolor,Ph,K,P,N,Zn,S,QV2M-W,QV2M-Sp,QV2M-Su,QV2M-Au,T2M_MAX-W,T2M_MAX-Sp,T2M_MAX-Su,T2M_MAX-Au,T2M_MIN-W,T2M_MIN-Sp,T2M_MIN-Su,T2M_MIN-Au,PRECTOTCORR-W,PRECTOTCORR-Sp,PRECTOTCORR-Su,PRECTOTCORR-Au,WD10M,GWETTOP,CLOUD_AMT,WS2M_RANGE,PS,label,longitude,latitude,elevation,slope,aspect 
gray,6.58,504.0,75.0,0.16,2.5,10.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,37.74444444444444,8.966666666666665,-32767,0.0,180.0
brown,7.4,614.0,7.0,0.043662318,2.2,9.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,39.75,9.616666666666664,2326,89.9985147258166,-43.6765705387452
red,5.56,227.0,1.6,0.175900251,0.8,19.0,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,38.96944444444444,8.480555555555554,1630,89.9705722431999,-33.690067525979785
red,5.75,162.0,1.3,0.16756813,0.7,11.3,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,39.16388888888888,8.230555555555554,1903,89.99777193105868,80.73547601486702
black,7.4,936.0,41.0,0.043662318,1.7,7.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,38.21944444444444,8.624999999999998,2203,89.96248682552037,45.0
red,5.21,260.0,5.8,0.192934615,1.6,12.5,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,39.69166666666666,8.874999999999998,1362,89.92882378227155,116.565051177078
brown,5.8,388.0,5.0,0.250293402,2.0,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.73333333333333,8.68611111111111,1907,89.98149861431422,-144.46232220802565
red,5.8,461.0,2.0,0.250293402,0.6,12.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.269444444444446,8.944444444444443,2277,89.97270515450609,59.03624346792648
black,6.0,533.0,13.0,0.16,2.5,8.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,38.05,9.763888888888888,1356,89.99052665939168,53.47114463301483
brown,6.77,837.0,25.0,0.16,3.4,9.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,38.375,8.624999999999998,2166,89.97514417537343,128.6598082540901
black,6.8,479.0,6.0,0.024284862,1.0,9.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,37.227777777777774,8.54722222222222,-32767,0.0,180.0
red,7.4,997.0,56.0,0.043662318,2.9,10.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,39.41666666666666,8.513888888888888,1523,89.99367540776304,-49.028263666485145
brown,5.3,242.0,7.0,0.2279,1.4,11.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.11944444444444,9.425,2251,89.97356580463524,-41.6335393365702
red,5.69,490.0,2.7,0.198390308,1.4,9.6,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,38.21388888888889,9.752777777777776,1962,89.99812917422794,87.6420940292831
red,5.1,639.0,5.0,0.2289,2.2,15.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.18611111111111,9.113888888888887,2715,89.9954288651393,35.05942696688698
red,6.01,134.0,3.0,0.219389893,1.5,7.2,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,37.92222222222222,8.741666666666665,-32767,0.0,180.0
brown,5.89,659.0,45.0,0.16,2.4,6.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,39.05277777777778,8.766666666666666,1878,89.92279855951995,75.96375653207353
brown,5.89,417.0,5.0,0.16,1.6,5.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,38.04722222222222,9.119444444444444,2855,89.99832507913557,-78.15792388467223
red,7.4,1778.0,185.0,0.043662318,5.0,12.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,38.513888888888886,9.313888888888888,2752,89.99110991094983,35.90972307917768
red,5.6,541.0,2.0,0.185,0.9,13.0,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,39.79166666666666,9.849999999999998,2394,89.99533608760471,-100.98065001017356
gray,6.8,1054.0,116.0,0.024284862,3.0,13.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,37.52777777777778,9.93611111111111,1205,89.96051852399913,29.74488129694222
gray,6.1,299.0,5.0,0.1177,2.1,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.47222222222222,8.966666666666665,2177,89.98713308568283,-165.96375653207352
brown,5.3,334.0,12.0,0.2279,1.7,16.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.31944444444444,8.313888888888888,-32767,0.0,180.0
red,5.3,285.0,5.0,0.2279,1.8,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.977777777777774,9.74722222222222,1695,89.99415428313095,45.74405920288872
red,5.6,443.0,4.0,0.2039,1.5,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.53333333333333,8.52222222222222,2576,89.98849148193177,40.60129464500447
brown,6.1,230.0,3.0,0.1177,2.2,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.44722222222222,9.3,2834,89.99713036298425,-154.3589941756947
black,6.1,709.0,63.0,0.1177,2.3,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.23611111111111,9.919444444444444,2645,89.99715840047216,88.97696981133217
brown,5.8,145.0,14.0,0.250293402,1.0,5.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.73611111111111,9.452777777777776,1644,89.99658126352686,24.08745230863229
red,5.3,354.0,3.0,0.2279,1.6,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.98888888888889,9.32222222222222,2689,89.99213029460138,8.530765609948133
brown,5.2,196.0,4.0,0.1408,0.7,11.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,38.230555555555554,9.06111111111111,2529,89.99796310611062,-45.259255151501385
brown,6.1,126.0,4.0,0.1177,1.0,6.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.31388888888889,9.277777777777777,2256,89.97514417537343,-141.34019174590992
brown,5.99,606.0,60.0,0.16,5.4,14.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,39.54444444444445,9.919444444444444,2812,89.98077019724514,-115.01689347810004
black,7.7,213.0,2.8,0.153113977,0.8,0.05,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,39.11944444444444,9.063888888888888,2516,89.9839637800232,-40.91438322002513
brown,5.8,432.0,2.0,0.250293402,1.8,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.269444444444446,9.374999999999998,2228,89.93633804896157,126.86989764584402
brown,5.4,313.0,6.0,0.1333,1.8,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.50833333333333,9.552777777777775,2813,89.9930867510758,34.38034472384487
black,5.8,592.0,34.0,0.250293402,2.6,11.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.21666666666666,8.53611111111111,1743,89.99081883294225,-146.76828893202065
red,5.52,222.91,8.24,0.16,2.48,12.52,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,39.394444444444446,8.849999999999998,1846,89.9117167917031,33.690067525979785
black,5.8,339.0,3.0,0.250293402,1.9,6.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.55277777777778,9.602777777777776,2356,89.9924168931978,-12.380756928807177
brown,5.8,199.0,3.0,0.250293402,1.4,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.59166666666666,8.241666666666665,2034,89.96908301377084,-119.05460409907714
red,5.4,111.0,3.0,0.1333,0.7,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.55833333333333,9.816666666666665,3051,89.99201224243055,107.52556837372288
brown,5.8,172.0,3.0,0.250293402,1.7,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.27777777777778,9.480555555555554,2767,89.9502883601024,38.65980825409009
brown,5.8,415.0,4.0,0.250293402,1.1,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.263888888888886,9.22222222222222,2306,89.99643135999636,70.3461759419467
brown,5.85,419.0,21.0,0.2289,2.1,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.61388888888889,8.99722222222222,1610,89.99038948171263,-28.88658176691071
brown,5.8,237.0,4.0,0.250293402,2.3,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.53333333333333,8.055555555555554,-32767,0.0,180.0
brown,5.8,474.0,24.0,0.250293402,3.0,11.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.29444444444445,9.275,2227,89.9249736832022,-45.0
brown,5.4,188.0,5.0,0.1333,1.7,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.75833333333333,9.83611111111111,2600,89.99861179940496,-31.26373169437743
brown,5.8,191.91,2.35,0.250293402,2.45,4.95,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.977777777777774,9.677777777777775,2583,89.99285553242551,9.03948280335512
brown,6.0,235.0,7.0,0.0969,1.3,8.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.91388888888888,9.963888888888889,1324,89.9983924563197,-89.42127443439225
brown,6.0,210.0,15.0,0.0969,1.2,5.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.92777777777778,9.78611111111111,1525,89.99842422779356,-52.84646219839816
red,6.0,253.0,2.0,0.0969,0.9,11.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.34166666666666,9.066666666666665,2193,89.99725961260819,-87.03906386583625
black,6.0,147.0,8.0,0.0969,1.0,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.18611111111111,8.308333333333332,1740,89.99147452201608,-110.3764352138364
red,6.02,1183.0,15.0,0.0808,3.4,20.0,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,38.7,9.275,2566,89.97858816094718,-42.27368900609374
red,5.24,224.0,4.0,0.0808,2.1,17.0,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,38.48333333333333,9.62222222222222,1805,89.99783597815393,-168.23171106797935
black,5.91,173.99,3.25,0.2289,1.71,5.08,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.98888888888889,9.405555555555557,2641,89.8874606052068,-45.0
brown,6.25,258.0,10.0,0.2289,1.1,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.33888888888889,8.888888888888888,2068,89.85764778422188,-153.434948822922
brown,5.8,411.0,14.0,0.250293402,1.7,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.54166666666666,9.133333333333333,2769,89.99618263214623,95.50547785797836
black,5.8,269.0,2.0,0.250293402,1.3,7.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.27222222222222,8.73611111111111,2121,89.9502883601024,38.65980825409009
red,6.0,195.0,2.0,0.0969,0.9,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.61388888888889,9.008333333333333,1624,89.99510524133723,88.23760897633949
brown,6.0,406.0,11.0,0.0969,2.7,8.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.702777777777776,8.319444444444443,1790,89.98130820053926,3.3664606634298013
brown,6.0,241.0,6.0,0.0969,1.4,7.0,8.566666667,9.663333333,12.73666667,11.78,25.88333333,30.05666667,23.65,22.84666667,6.626666667,10.35,11.17333333,9.1,1.343333333,5.66,19.92,7.42,14.25,0.8,59.11,6.06,78.58,Maize,39.925,8.472222222222221,1995,89.99548075888467,128.6598082540901
other,5.81,156.75,1.54,0.16,1.27,9.4,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,37.75,9.002777777777776,1919,89.99168367770395,19.855214369321057
brown,5.85,669.0,44.0,0.2289,3.0,12.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.27777777777778,9.963888888888889,1097,89.99547391119991,119.8459319496874
black,5.85,588.0,64.0,0.2289,2.2,8.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.827777777777776,8.458333333333332,1789,89.98288755501224,-126.2538377374448
brown,5.85,320.0,24.0,0.2289,1.8,6.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.19722222222222,9.383333333333333,2701,89.97005592747166,48.81407483429036
black,5.8,712.0,70.0,0.250293402,2.9,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.519444444444446,9.858333333333333,1404,89.99574716460019,-157.2034785320574
black,5.8,335.0,17.0,0.250293402,2.0,5.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.516666666666666,8.988888888888887,2269,89.99025074295963,152.65012421993012
Brown,6.0,195.0,2.0,0.0969,0.8,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.74722222222222,9.033333333333331,1043,89.98929408009981,-160.3461759419467
red,6.0,238.0,13.0,0.0969,2.0,5.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.13055555555555,9.805555555555554,1669,89.99456099024057,160.01689347810003
red,5.81,564.0,4.0,0.16,3.5,14.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,38.53333333333333,9.658333333333331,2461,89.98069962892981,-104.03624346792648
Redish Brown,6.0,140.0,1.0,0.0969,0.6,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.43611111111111,9.469444444444443,1913,89.99881665098887,-171.44816976617994
brown,6.0,210.0,6.0,0.0969,1.9,9.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.35833333333333,9.677777777777775,1992,89.9976217700606,-96.43473915103672
red,6.4,348.0,1.0,0.1209,1.8,11.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.20833333333333,8.608333333333333,-32767,0.0,180.0
brown,6.4,392.0,7.0,0.1209,1.6,6.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,38.3,8.277777777777777,3266,89.99443952483665,70.61548432064217
red,5.58,902.0,14.0,0.16,4.7,25.0,7.586666667,8.136666667,11.43,10.15,26.32666667,28.97,24.37666667,22.67333333,7.513333333,11.38333333,11.81,10.08666667,0.91,2.266666667,11.76666667,2.96,88.31,0.63,59.11,6.01,77.15,Maize,39.78055555555555,9.519444444444444,2020,89.99841053537456,100.35602624927002
red,6.74,127.0,3.0,0.2289,2.4,8.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.63055555555555,9.766666666666666,2804,89.98904980715767,153.434948822922
red,5.85,493.0,2.0,0.2289,1.6,10.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,39.86388888888889,9.41111111111111,1294,89.99747659045217,-87.27368900609373
brown,5.8,687.0,42.0,0.250293402,2.6,12.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.53333333333333,8.213888888888889,-32767,0.0,180.0
red,6.0,562.0,7.0,0.0969,2.8,14.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.20833333333333,9.455555555555554,2224,0.0,180.0
brown,6.74,342.0,9.0,0.2289,2.8,6.0,8.506666667,9.34,12.16666667,10.92666667,25.34333333,28.87,23.33666667,22.28,6.053333333,9.353333333,10.93333333,8.29,1.736666667,5.203333333,17.81666667,5.823333333,36.06,0.77,59.11,5.41,77.29,Maize,37.91111111111111,8.702777777777776,-32767,0.0,180.0
